id,formula,elements,num_elements,has_transition_metals,families
GEN_00033,"{'Fe': 0.22263473272323608, 'Na': 0.17795701324939728, 'O': 0.5402100086212158, 'P': 0.024979449808597565, 'V': 0.03008182719349861}","['V', 'O', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00034,"{'Co': 0.1432589292526245, 'Na': 0.44014257192611694, 'O': 0.41527533531188965}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00035,"{'Fe': 0.016423534601926804, 'Na': 0.11669739335775375, 'O': 0.6136608719825745, 'P': 0.2418844997882843}","['P', 'Na', 'Fe', 'O']",4,1,['phosphate']
GEN_00036,"{'Fe': 0.1452932357788086, 'Na': 0.3475041687488556, 'O': 0.4937584102153778}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00037,"{'Na': 0.11044197529554367, 'O': 0.6115415096282959, 'P': 0.0471474826335907, 'V': 0.22655291855335236}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00038,"{'Fe': 0.05310715734958649, 'Na': 0.5833684802055359, 'O': 0.3598058223724365}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00039,"{'Li': 0.09619724750518799, 'Na': 0.039558716118335724, 'O': 0.5943874716758728, 'V': 0.2609236240386963}","['Li', 'V', 'Na', 'O']",4,1,['layered_oxide']
GEN_00040,"{'Mn': 0.08176852017641068, 'Na': 0.05806761234998703, 'O': 0.6352326273918152, 'V': 0.20942322909832}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00041,"{'Na': 0.3245663642883301, 'O': 0.4909141957759857, 'V': 0.18292342126369476}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00042,"{'Fe': 0.01541974488645792, 'Na': 0.1061406135559082, 'O': 0.5983384847640991, 'P': 0.1612335443496704, 'V': 0.07004649192094803}","['V', 'O', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00043,"{'Li': 0.01790746860206127, 'Na': 0.2470216304063797, 'O': 0.3730103671550751, 'Ti': 0.32504895329475403}","['Li', 'Ti', 'Na', 'O']",4,1,['layered_oxide']
GEN_00044,"{'Co': 0.05394872650504112, 'Fe': 0.026551859453320503, 'Na': 0.513557493686676, 'O': 0.4016871154308319}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00045,"{'Fe': 0.15465696156024933, 'Na': 0.4165134131908417, 'O': 0.4288163185119629}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00046,"{'Co': 0.171668142080307, 'Na': 0.3955654501914978, 'O': 0.4312671422958374}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00047,"{'Na': 0.18173223733901978, 'O': 0.5657820105552673, 'V': 0.25185179710388184}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00048,"{'Co': 0.017513466998934746, 'Fe': 0.16283312439918518, 'Na': 0.2303713858127594, 'O': 0.5391145944595337, 'P': 0.03070206567645073}","['O', 'Co', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00049,"{'Li': 0.03243338316679001, 'Mn': 0.012070400640368462, 'Na': 0.14732740819454193, 'O': 0.5797454118728638, 'V': 0.22283953428268433}","['V', 'Li', 'O', 'Mn', 'Na']",5,2,['high_entropy']
GEN_00050,"{'Fe': 0.14384101331233978, 'Na': 0.41318556666374207, 'O': 0.4422817826271057}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00051,"{'Co': 0.14157404005527496, 'Fe': 0.011131116189062595, 'Na': 0.38603830337524414, 'O': 0.45010697841644287}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00052,"{'Li': 0.1135062500834465, 'Na': 0.17222361266613007, 'O': 0.507533073425293, 'V': 0.15758202970027924}","['Li', 'V', 'Na', 'O']",4,1,['layered_oxide']
GEN_00053,"{'Na': 0.08940014243125916, 'O': 0.6360997557640076, 'P': 0.04597155377268791, 'V': 0.19887125492095947}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00054,"{'Na': 0.1291072964668274, 'O': 0.6080947518348694, 'V': 0.26083388924598694}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00055,"{'Co': 0.013393493369221687, 'Fe': 0.012917553074657917, 'Mn': 0.019930997863411903, 'Na': 0.3219907581806183, 'O': 0.5213862657546997, 'P': 0.022837352007627487, 'V': 0.04529856517910957}","['V', 'O', 'Mn', 'Co', 'Na', 'Fe', 'P']",7,4,"['phosphate', 'high_entropy']"
GEN_00056,"{'Fe': 0.15968553721904755, 'Na': 0.12982694804668427, 'O': 0.5834275484085083, 'P': 0.014326216652989388, 'V': 0.10437943041324615}","['V', 'O', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00057,"{'Co': 0.08404924720525742, 'Mg': 0.015112923458218575, 'Na': 0.436219185590744, 'O': 0.454944372177124}","['Mg', 'Co', 'Na', 'O']",4,1,['layered_oxide']
GEN_00058,"{'Fe': 0.059908486902713776, 'Na': 0.07122044265270233, 'O': 0.6796472668647766, 'P': 0.1195547878742218, 'V': 0.06590555608272552}","['V', 'O', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00059,"{'Co': 0.23947502672672272, 'Mg': 0.01685352623462677, 'Mn': 0.06089918315410614, 'Na': 0.16954798996448517, 'O': 0.5115005970001221}","['Mg', 'O', 'Mn', 'Co', 'Na']",5,2,['high_entropy']
GEN_00060,"{'Fe': 0.017664652317762375, 'Na': 0.17493315041065216, 'O': 0.5621479153633118, 'P': 0.03049306571483612, 'V': 0.16373445093631744}","['V', 'O', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00061,"{'Fe': 0.13436150550842285, 'Na': 0.17988038063049316, 'O': 0.5461413264274597, 'P': 0.06110953539609909, 'V': 0.05430925264954567}","['V', 'O', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00062,"{'Fe': 0.2769507169723511, 'Na': 0.18803997337818146, 'O': 0.527256965637207}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00063,"{'Mn': 0.25118958950042725, 'Na': 0.16253872215747833, 'O': 0.5420355200767517, 'V': 0.033898744732141495}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00064,"{'Na': 0.20995020866394043, 'O': 0.5607897639274597, 'P': 0.016174986958503723, 'V': 0.20338012278079987}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00065,"{'Mn': 0.256919264793396, 'Na': 0.21533222496509552, 'O': 0.5016653537750244}","['O', 'Na', 'Mn']",3,1,['layered_oxide']
GEN_00066,"{'Co': 0.09991826862096786, 'Fe': 0.0405389778316021, 'Na': 0.42801937460899353, 'O': 0.42819491028785706}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00067,"{'Mn': 0.037439290434122086, 'Na': 0.27899056673049927, 'O': 0.5370521545410156, 'P': 0.04133167490363121, 'V': 0.07627661526203156}","['V', 'O', 'Mn', 'P', 'Na']",5,2,"['phosphate', 'high_entropy']"
GEN_00068,"{'Na': 0.1730768084526062, 'O': 0.5742401480674744, 'V': 0.25038963556289673}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00069,"{'Na': 0.0947750136256218, 'O': 0.6333141326904297, 'P': 0.054813604801893234, 'V': 0.2048281729221344}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00070,"{'Co': 0.013772008009254932, 'Fe': 0.09158691763877869, 'Na': 0.4687406122684479, 'O': 0.4255661368370056}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00071,"{'Mn': 0.0915517657995224, 'Na': 0.1257433444261551, 'O': 0.5895717740058899, 'P': 0.04212326928973198, 'V': 0.10906589031219482}","['V', 'O', 'Mn', 'P', 'Na']",5,2,"['phosphate', 'high_entropy']"
GEN_00072,"{'Fe': 0.03071303479373455, 'Na': 0.19508148729801178, 'O': 0.5996264815330505, 'S': 0.010250062681734562, 'V': 0.1316739320755005}","['V', 'O', 'Na', 'Fe', 'S']",5,2,"['high_entropy', 'sulfate']"
GEN_00073,"{'Na': 0.19349810481071472, 'O': 0.5650100111961365, 'V': 0.23896779119968414}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00074,"{'Na': 0.15059205889701843, 'O': 0.5938596129417419, 'V': 0.24509070813655853}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00075,"{'Na': 0.18814490735530853, 'O': 0.5654025673866272, 'V': 0.24413003027439117}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00076,"{'Na': 0.034859754145145416, 'O': 0.6166877150535583, 'V': 0.3482956886291504}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00077,"{'Na': 0.08660674095153809, 'O': 0.6165853142738342, 'V': 0.2931550443172455}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00078,"{'Fe': 0.2735649049282074, 'Na': 0.16744476556777954, 'O': 0.5422316193580627}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00079,"{'Co': 0.030172031372785568, 'Mn': 0.13015435636043549, 'Na': 0.19227156043052673, 'O': 0.5602712631225586, 'P': 0.06222974881529808, 'V': 0.016887394711375237}","['V', 'O', 'Mn', 'Co', 'P', 'Na']",6,3,"['phosphate', 'high_entropy']"
GEN_00080,"{'Co': 0.08460958302021027, 'Na': 0.572225034236908, 'O': 0.34239181876182556}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00081,"{'Co': 0.17105309665203094, 'Na': 0.3653643727302551, 'O': 0.4470481872558594}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00082,"{'Co': 0.1040375828742981, 'Fe': 0.01186290942132473, 'Na': 0.1510980874300003, 'O': 0.5916409492492676, 'P': 0.13517551124095917}","['O', 'Co', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00083,"{'Na': 0.34492650628089905, 'O': 0.4715723991394043, 'V': 0.18341076374053955}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00084,"{'Co': 0.04535166919231415, 'Fe': 0.0693088173866272, 'Na': 0.4256182014942169, 'O': 0.4524097740650177}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00085,"{'Mn': 0.3036763370037079, 'Na': 0.08468138426542282, 'O': 0.546994686126709, 'V': 0.01802499033510685}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00086,"{'Co': 0.0667843371629715, 'Mn': 0.13569335639476776, 'Na': 0.23480604588985443, 'O': 0.5409809947013855}","['O', 'Co', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00087,"{'Na': 0.2900180518627167, 'O': 0.5086617469787598, 'V': 0.2003086507320404}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00088,"{'Fe': 0.162493497133255, 'Na': 0.3614119291305542, 'O': 0.47381502389907837}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00089,"{'Mn': 0.1096288412809372, 'Na': 0.32330626249313354, 'O': 0.4880521893501282, 'V': 0.07655461132526398}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00090,"{'Co': 0.19494937360286713, 'Na': 0.35191863775253296, 'O': 0.44872769713401794}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00091,"{'Co': 0.038328465074300766, 'Mn': 0.08307286351919174, 'Na': 0.22106744349002838, 'O': 0.558969259262085, 'P': 0.06877642124891281, 'V': 0.01912045106291771}","['V', 'O', 'Mn', 'Co', 'P', 'Na']",6,3,"['phosphate', 'high_entropy']"
GEN_00092,"{'Fe': 0.11655600368976593, 'Na': 0.23442019522190094, 'O': 0.5633867383003235, 'P': 0.0773385539650917}","['P', 'Na', 'Fe', 'O']",4,1,['phosphate']
GEN_00093,"{'Li': 0.017842773348093033, 'Na': 0.3937128186225891, 'O': 0.4790269136428833, 'Ti': 0.010174581781029701, 'V': 0.09025157988071442}","['V', 'Li', 'O', 'Ti', 'Na']",5,2,['high_entropy']
GEN_00094,"{'Na': 0.05029863864183426, 'O': 0.627200186252594, 'V': 0.3168961703777313}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00095,"{'Co': 0.19602008163928986, 'Na': 0.3265622854232788, 'O': 0.46994301676750183}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00096,"{'C': 0.012522204779088497, 'Co': 0.12653444707393646, 'Mn': 0.07926132529973984, 'Na': 0.0829036757349968, 'O': 0.6147765517234802, 'P': 0.061810482293367386}","['C', 'O', 'Mn', 'Co', 'Na', 'P']",6,2,"['phosphate', 'high_entropy']"
GEN_00097,"{'Na': 0.03248661383986473, 'O': 0.6286637783050537, 'V': 0.3358790874481201}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00098,"{'Na': 0.36892998218536377, 'O': 0.500195324420929, 'P': 0.03240644186735153, 'V': 0.08585058897733688}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00099,"{'Mn': 0.15525561571121216, 'Na': 0.18769778311252594, 'O': 0.5330126881599426, 'P': 0.022860093042254448, 'V': 0.08373842388391495}","['V', 'O', 'Mn', 'P', 'Na']",5,2,"['phosphate', 'high_entropy']"
GEN_00100,"{'Na': 0.0389503575861454, 'O': 0.6291903853416443, 'P': 0.07508614659309387, 'V': 0.25228869915008545}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00101,"{'Na': 0.06608454138040543, 'O': 0.6202675104141235, 'V': 0.3027350604534149}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00102,"{'Fe': 0.1696520298719406, 'Na': 0.21397852897644043, 'O': 0.530990719795227, 'P': 0.062188778072595596, 'V': 0.013240969739854336}","['V', 'O', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00103,"{'Co': 0.3466809391975403, 'Na': 0.16817893087863922, 'O': 0.48146843910217285}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00104,"{'Na': 0.038105327636003494, 'O': 0.644559919834137, 'P': 0.013924968428909779, 'V': 0.2895239591598511}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00105,"{'Fe': 0.06810640543699265, 'Na': 0.5412524342536926, 'O': 0.38447970151901245}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00106,"{'Na': 0.03301312401890755, 'O': 0.6305946111679077, 'V': 0.3332740366458893}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00107,"{'Fe': 0.014194509945809841, 'Na': 0.15100577473640442, 'O': 0.5947175621986389, 'P': 0.2345745861530304}","['P', 'Na', 'Fe', 'O']",4,1,['phosphate']
GEN_00108,"{'Na': 0.056019123643636703, 'O': 0.6093345880508423, 'P': 0.012600523419678211, 'V': 0.31759053468704224}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00109,"{'Mn': 0.0664563775062561, 'Na': 0.2726251184940338, 'O': 0.5283741354942322, 'P': 0.024933265522122383, 'V': 0.09596221148967743}","['V', 'O', 'Mn', 'P', 'Na']",5,2,"['phosphate', 'high_entropy']"
GEN_00110,"{'Mn': 0.1817822903394699, 'Na': 0.3366178274154663, 'O': 0.4717682898044586}","['O', 'Na', 'Mn']",3,1,['layered_oxide']
GEN_00111,"{'Fe': 0.31792575120925903, 'Na': 0.12636858224868774, 'O': 0.5428981184959412}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00112,"{'Fe': 0.019252199679613113, 'Na': 0.2860008478164673, 'O': 0.5174958109855652, 'V': 0.17124150693416595}","['Na', 'V', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00113,"{'Na': 0.029510531574487686, 'O': 0.6446839570999146, 'P': 0.04626503586769104, 'V': 0.2601299285888672}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00114,"{'Co': 0.17271865904331207, 'Na': 0.4085146188735962, 'O': 0.4183674156665802}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00115,"{'Na': 0.020085886120796204, 'O': 0.6407650709152222, 'P': 0.04650324583053589, 'V': 0.2915054261684418}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00116,"{'Na': 0.4274585247039795, 'O': 0.4580894410610199, 'V': 0.09138519316911697}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00117,"{'Fe': 0.024151012301445007, 'Na': 0.5529165863990784, 'O': 0.39996424317359924}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00118,"{'Co': 0.1743464469909668, 'Na': 0.3807550072669983, 'O': 0.4425605237483978}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00119,"{'Na': 0.032531142234802246, 'O': 0.591974675655365, 'V': 0.37548401951789856}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00120,"{'Na': 0.02532150037586689, 'O': 0.6187903881072998, 'V': 0.35454660654067993}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00121,"{'Fe': 0.13288453221321106, 'Na': 0.39344048500061035, 'O': 0.4683740437030792}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00122,"{'Co': 0.016384640708565712, 'Fe': 0.08598238974809647, 'Na': 0.42534998059272766, 'O': 0.459272176027298}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00123,"{'Mn': 0.026987658813595772, 'Na': 0.11685038357973099, 'O': 0.6265323162078857, 'V': 0.22821949422359467}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00124,"{'Co': 0.03375474736094475, 'Fe': 0.07656797766685486, 'Na': 0.4098204970359802, 'O': 0.46584150195121765}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00125,"{'Co': 0.22070235013961792, 'Na': 0.2878343462944031, 'O': 0.4772590696811676}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00126,"{'Na': 0.2649765610694885, 'O': 0.5224761366844177, 'V': 0.2070533186197281}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00127,"{'Mn': 0.2627231478691101, 'Na': 0.3129507303237915, 'O': 0.4221973121166229}","['O', 'Na', 'Mn']",3,1,['layered_oxide']
GEN_00128,"{'Co': 0.1817801147699356, 'Na': 0.369655579328537, 'O': 0.44371575117111206}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00129,"{'Mn': 0.1780920922756195, 'Na': 0.18884561955928802, 'O': 0.5272634625434875, 'P': 0.014986120164394379, 'V': 0.06334111839532852}","['V', 'O', 'Mn', 'P', 'Na']",5,2,"['phosphate', 'high_entropy']"
GEN_00130,"{'Fe': 0.10129137337207794, 'Na': 0.45995762944221497, 'O': 0.42916539311408997}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00131,"{'Fe': 0.10516484826803207, 'Na': 0.48188650608062744, 'O': 0.41108569502830505}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00132,"{'Co': 0.07571134716272354, 'Fe': 0.040089402347803116, 'Na': 0.26841068267822266, 'O': 0.5177680850028992, 'P': 0.05768228694796562}","['O', 'Co', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00133,"{'Na': 0.11007563024759293, 'O': 0.6099749803543091, 'V': 0.2758615016937256}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00134,"{'Li': 0.0438326895236969, 'Na': 0.03095509484410286, 'O': 0.6066985130310059, 'V': 0.31628626585006714}","['Li', 'V', 'Na', 'O']",4,1,['layered_oxide']
GEN_00135,"{'Fe': 0.09323415160179138, 'Na': 0.5268406271934509, 'O': 0.3797018527984619}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00136,"{'Co': 0.039965156465768814, 'Na': 0.13411223888397217, 'O': 0.6146848797798157, 'P': 0.19852937757968903}","['P', 'Co', 'Na', 'O']",4,1,['phosphate']
GEN_00137,"{'Mn': 0.059030499309301376, 'Na': 0.5075440406799316, 'O': 0.3976459801197052, 'V': 0.03523322567343712}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00138,"{'Na': 0.03494880720973015, 'O': 0.6702869534492493, 'P': 0.2608321011066437, 'V': 0.025294939056038857}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00139,"{'Co': 0.1953824758529663, 'Fe': 0.02210197225213051, 'Na': 0.23787932097911835, 'O': 0.5117685794830322, 'P': 0.021316958591341972}","['O', 'Co', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00140,"{'Na': 0.10134702175855637, 'O': 0.6319475769996643, 'P': 0.202012836933136, 'V': 0.05893174931406975}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00141,"{'Co': 0.12968528270721436, 'Na': 0.4735342562198639, 'O': 0.39621493220329285}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00142,"{'Na': 0.17085085809230804, 'O': 0.5757680535316467, 'V': 0.2470523566007614}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00143,"{'Li': 0.7669388055801392, 'Na': 0.041226234287023544, 'O': 0.15787015855312347, 'V': 0.02988995425403118}","['Li', 'V', 'Na', 'O']",4,1,['layered_oxide']
GEN_00144,"{'Fe': 0.09148886054754257, 'Na': 0.1480848640203476, 'O': 0.5950279831886292, 'P': 0.15653324127197266}","['P', 'Na', 'Fe', 'O']",4,1,['phosphate']
